bulan,nama_barang,total_pemasukan
2020-05,GULA,100000.0
2020-07,GULA,100000.0
2020-11,GULA,14000.0
2020-12,GULA,8000.0
2020-06,GULA,100000.0
2020-02,BERAS,108664.0
2020-06,BERAS,325300.0
2020-07,BERAS,50075.0
2020-08,BERAS,100074.0
2020-09,BERAS,50100.0
2020-10,BERAS,100075.0
2020-09,DAGING,3000.0
2020-01,DAGING,5500.0
2020-03,DAGING,4000.0
2020-12,DAGING,3000.0
2020-10,MIGOR,4000.0
2020-11,MIGOR,1500.0
2020-05,TEPUNG,1000.0
2020-07,TEPUNG,1000.0
2020-09,TEPUNG,2000.0
2020-01,BERAS,331130.0
2020-03,BERAS,134180.0
2020-04,BERAS,50160.0
2020-05,BERAS,350000.0
2020-11,BERAS,150000.0
2020-12,BERAS,75000.0
2021-02,BERAS,500.0
2021-03,BERAS,100000.0
2021-02,DAGING,1000.0
2021-01,MIGOR,4000.0
2021-03,TEPUNG,1500.0
2021-01,BERAS,50000.0
2020-01,TEPUNG,3000.0
2020-01,MIGOR,16148.0
